Time QueueLength
497.735432903 2
497.957327809 1
498.875456193 0
510.585866284 1
510.811033034 0
510.908023781 1
511.668168625 0
511.709191466 1
512.285163535 0
516.786233449 1
516.899413793 0
516.962467485 1
517.276646888 2
517.641298615 1
517.713188477 0
517.728885062 1
517.810228366 0
520.050648657 1
521.135035739 0
521.564947884 1
521.650511597 0
522.542217635 1
523.601348398 2
524.658822334 3
524.70379045 4
525.130217625 3
525.171364051 4
525.318227542 3
526.158570658 2
526.219657908 3
526.740060035 4
527.264558735 5
527.469285303 4
527.586725738 3
527.980157143 2
528.236720398 3
529.135862941 2
529.159026347 3
529.894851271 2
530.53986414 1
530.656546526 0
533.237435581 1
534.123469483 2
534.274682176 3
534.34266103 4
534.437099489 3
535.507467031 2
536.392633969 1
537.121278403 2
537.189592492 1
537.26873817 2
537.400631956 1
538.48170837 2
539.161465964 3
539.32799456 4
541.019730547 3
541.377326548 2
541.442276926 1
542.931681166 0
543.339737205 1
543.671345011 0
544.0381932 1
544.040888357 0
544.664378008 1
545.204102796 2
545.915368309 1
546.049146734 0
547.074343713 1
547.194011694 0
547.493074541 1
547.674314074 0
550.312511678 1
550.508711304 0
550.528018799 1
550.729423432 0
551.754068528 1
552.188160013 2
552.383241192 1
552.618021557 2
553.272471683 3
554.426834026 2
554.445455931 3
555.647167627 4
555.854664639 5
556.055574861 6
556.553521537 7
556.566877454 6
556.59102763 5
556.621528314 4
558.794591683 3
560.242165669 4
560.969238476 3
561.158676654 2
561.826249506 1
562.958187287 2
563.510512211 1
564.306592882 0
566.023108681 1
566.427043378 0
567.578366023 1
568.057089962 0
568.377717758 1
568.382507063 0
572.169267406 1
572.842793447 2
574.380668983 1
574.903801022 2
575.704592837 1
576.936925756 2
576.937235933 1
577.515441378 2
577.622105018 3
577.682856629 2
578.050822109 1
578.255349972 0
579.31528094 1
579.668507727 0
580.392342878 1
580.578465868 2
580.596118998 1
580.773366932 0
581.253282624 1
581.284966745 0
581.837767889 1
582.762823666 2
582.930739373 3
583.341613745 4
583.373947952 3
583.539139847 4
583.851310429 3
583.8897216 2
584.297844925 1
584.379287197 0
584.678562191 1
585.018058798 0
585.429169997 1
586.066633073 0
586.072065251 1
586.073916067 2
586.192057627 3
586.460533403 2
586.503911488 1
586.641343791 0
589.650518531 1
589.67278557 0
589.698060144 1
589.805045281 0
589.974684586 1
590.098829711 0
590.613999296 1
590.736771343 0
591.499326602 1
592.314890917 0
592.732751226 1
592.753633532 0
595.313585667 1
595.609705541 2
595.946194107 3
596.34171086 4
601.683783672 5
601.684891157 4
602.30565323 5
602.308140971 4
602.425771731 5
603.203421735 6
604.298551674 5
605.290485436 4
605.740238997 5
606.612872128 6
606.675504555 7
608.9954852 6
610.787400804 7
610.823926656 8
611.034764711 7
611.249379007 6
611.346930072 7
611.508889967 6
612.306239395 5
612.356583887 6
612.394822369 5
613.627189166 4
613.680522134 3
614.023819474 4
614.106410497 5
614.455963208 6
615.747704977 7
615.830941518 6
618.258785388 5
618.446594598 4
618.963296718 5
619.332673261 6
620.135789584 5
620.645462428 4
620.829909344 3
622.018747104 4
622.280751053 5
622.799032331 6
623.157746685 5
624.233361739 4
624.625166552 5
624.642240962 4
625.445631318 5
625.575856351 4
626.667771335 5
627.194121698 6
627.286247469 5
628.862666811 4
630.28437676 3
630.888100551 2
631.07923769 3
631.390362764 4
631.410239631 3
631.657661242 4
631.932883532 3
632.017113847 4
632.291650642 3
633.312711539 4
633.797548006 3
635.897037811 4
635.958427359 5
636.156859947 6
636.16980015 7
637.45648517 6
638.243976773 5
638.31981992 4
638.996741274 5
639.132916019 4
639.533967559 5
639.628742799 4
640.117729015 5
641.451888114 6
641.464338881 7
642.008800333 8
642.460284637 7
642.77305964 6
642.897674541 5
642.935463726 6
643.073958856 5
643.382842801 4
643.42149529 5
643.595628922 4
644.016164603 5
644.100214657 6
644.349938134 5
644.629494594 6
644.787830784 7
645.029685029 6
645.428687411 7
647.903138044 8
648.545696481 9
650.113808384 8
650.973335644 7
651.776122296 6
651.930724733 5
652.637048104 4
653.019888521 5
653.329865672 4
653.574568345 3
653.764430743 2
654.250919807 1
654.473228479 2
654.720318097 1
654.814361548 2
655.127254206 3
656.661759042 2
656.867442238 3
656.950435964 2
657.238762553 3
658.043435243 4
658.219472931 3
658.525282013 4
658.548186642 5
658.750859171 4
662.111324179 5
662.679876882 6
664.504019785 7
664.553328133 8
664.708190269 9
664.908078965 8
665.140274778 7
665.97007163 6
667.746055509 5
668.092599626 4
668.457971767 3
668.575847701 4
672.273978756 3
672.678746919 2
673.236422339 3
673.331964493 4
673.415999179 3
673.644347571 2
673.867994308 1
674.047045023 0
674.603768008 1
674.848189921 2
676.179069206 1
676.274199477 0
677.130824397 1
677.446073532 2
678.254832541 3
678.563957575 2
679.472038542 1
680.504708944 2
680.987120534 1
682.717589199 0
685.307124837 1
686.595719407 2
687.15195902 1
687.657225587 0
687.694449417 1
688.299800046 2
688.537322626 1
689.021606237 2
689.31191547 1
689.911108343 2
690.196189348 1
690.21730294 0
690.625622663 1
690.625661818 0
691.318603107 1
691.425642208 2
691.698795285 1
692.144838635 0
692.688360679 1
693.016437003 0
697.151406725 1
697.157179004 2
697.224980881 3
697.242220876 2
697.493467361 3
697.534796726 2
697.868690316 3
697.885570932 2
698.580819165 3
700.45031761 2
701.051537359 3
701.846281684 2
702.331233946 3
702.488587665 2
702.591394724 3
704.593851933 4
704.769126309 3
704.930121327 2
705.235139815 1
705.740128937 0
708.611283188 1
710.106124212 0
710.247245723 1
710.712137112 0
710.849958808 1
711.258729399 0
712.355296451 1
712.554245274 0
714.038779145 1
715.760765776 2
715.850101737 3
717.894079241 4
718.848913028 3
721.112949088 4
721.766997568 3
722.050411078 2
722.893235291 3
722.940450419 4
723.050135084 5
723.099540827 6
723.814777984 5
724.532164956 4
725.031308539 5
725.918875492 4
726.156628404 3
726.67365206 2
726.78895601 1
727.238462806 0
732.116591454 1
732.369995168 2
732.606128816 1
734.297644545 2
735.982731514 1
736.185006914 2
737.619285591 3
737.683411454 2
738.215191257 3
738.608137064 2
739.438715452 3
739.44339434 4
